"participant";"sex";"age";"number_lessons";"lessons";"intro_page";"included";"exclusion_motive";"math_level"
"Sujet1";"M";50;1;1;1;0;"exp_error";4
"Sujet1_35";"M";27;3;123;1;1;"none";5
"Sujet10";"F";24;7;5671234;1;1;"none";2
"Sujet10_35";"F";41;5;71234;1;1;"none";2
"Sujet11";"F";23;1;6;1;0;"Planar_geometry";2
"Sujet11_35";"F";22;3;234;1;1;"none";4
"Sujet12";"F";26;7;6712345;1;1;"none";2
"Sujet12_35";"F";20;5;56712;1;1;"none";2
"Sujet13";"F";21;1;7;1;1;"none";5
"Sujet13_35";"F";22;3;567;1;1;"none";2
"Sujet14";"M";27;7;7123456;1;1;"none";2
"Sujet14_35";"F";NA;5;34567;1;1;"none";5
"Sujet15";"F";22;1;1;1;1;"none";2
"Sujet15_35";"M";25;3;765;1;1;"none";6
"Sujet16";"M";NA;7;7654321;1;1;"none";4
"Sujet16_35";"F";26;5;76543;1;1;"none";2
"Sujet17";"F";33;1;2;1;1;"none";2
"Sujet17_35";"F";22;3;432;1;1;"none";2
"Sujet18";"F";20;7;6543217;1;1;"none";0
"Sujet18_35";"M";19;5;21765;1;1;"none";2
"Sujet19";"M";24;1;3;1;0;"Straight_lines_on_spheres";6
"Sujet19_35";"F";20;3;176;1;1;"none";4
"Sujet2";"M";24;7;1234567;1;0;"exp_error";7
"Sujet2_35";"F";36;5;12345;1;1;"none";2
"Sujet20";"M";NA;7;5432176;1;1;"none";7
"Sujet20_35";"F";24;5;43217;1;1;"none";2
"Sujet21";"F";21;1;4;1;1;"none";4
"Sujet21_35";"F";25;3;543;1;1;"none";2
"Sujet22";"F";23;7;4321765;1;1;"none";7
"Sujet22_35";"F";43;5;65432;1;1;"none";5
"Sujet23";"M";26;1;5;1;0;"exp_error";4
"Sujet23_35";"F";NA;3;217;1;0;"Planar_geometry";2
"Sujet24";"M";19;7;3217654;1;0;"exp_error";3
"Sujet24_35";"F";23;5;17654;1;1;"none";3
"Sujet25";"M";26;1;6;1;1;"none";4
"Sujet25_35";"F";21;3;654;1;0;"Planar_geometry";4
"Sujet26";"M";NA;7;2176543;1;0;"exp_error";5
"Sujet26_35";"M";27;5;32176;1;1;"none";2
"Sujet27";"M";26;1;7;1;1;"none";6
"Sujet27_35";"F";30;3;321;1;1;"none";5
"Sujet28";"F";NA;7;1765432;1;1;"none";7
"Sujet28_35";"F";34;5;54321;1;1;"none";2
"Sujet29";"F";32;1;1;1;1;"none";4
"Sujet29_35";"F";21;5;45671;1;0;"Planar_geometry";2
"Sujet3";"F";NA;1;2;1;0;"exp_error";2
"Sujet3_35";"F";22;3;456;1;1;"none";2
"Sujet30";"M";27;7;1234567;1;1;"none";4
"Sujet30_35";"F";23;5;45671;1;1;"none";2
"Sujet31";"F";NA;1;2;1;1;"none";6
"Sujet31_35";"F";24;3;217;1;1;"none";4
"Sujet32_35";"F";21;3;654;1;1;"none";4
"Sujet33";"F";20;1;6;1;1;"none";3
"Sujet34";"F";NA;7;3217654;1;1;"none";5
"Sujet35";"M";31;1;3;1;0;"Straight_lines_on_spheres";2
"Sujet36";"F";21;7;2176543;1;1;"none";5
"Sujet37";"F";18;1;5;1;1;"none";3
"Sujet38";"F";NA;1;3;1;1;"none";2
"Sujet4";"F";NA;7;2345671;1;1;"none";5
"Sujet4_35";"F";22;5;67123;1;1;"none";6
"Sujet5";"M";NA;1;3;1;1;"none";7
"Sujet5_35";"F";23;3;712;1;1;"none";5
"Sujet6";"M";NA;7;3456712;1;1;"none";7
"Sujet6_35";"M";23;5;45671;1;0;"both_inclusion_tests";5
"Sujet7";"M";23;1;4;1;1;"none";7
"Sujet7_35";"F";26;3;345;1;1;"none";6
"Sujet8";"M";23;7;4567123;1;1;"none";7
"Sujet8_35";"M";29;5;23456;1;1;"none";7
"Sujet9";"F";41;1;5;1;1;"none";2
"Sujet9_35";"M";23;3;671;1;1;"none";4
