"participant";"planar";"sphere";"age";"sex";"lesson";"group";"number_lesson";"math_level";"included"
"Sujet1_g2";1;1;24;"F";1234567;"exp2";7;2;1
"Sujet10_g2";1;1;27;"F";5432176;"exp2";7;3;1
"Sujet11_g2";1;1;35;"F";4321765;"exp2";7;2;1
"Sujet12_g2";1;1;20;"F";3217654;"exp2";7;2;1
"Sujet13_g2";1;1;26;"H";2176543;"exp2";7;0;1
"Sujet14_g2";1;1;21;"H";1765432;"exp2";7;4;1
"Sujet15_g2";1;1;21;"F";1234567;"exp2";7;0;1
"Sujet17_g2";1;1;23;"F";3456712;"exp2";7;3;1
"Sujet18_g2";1;1;24;"H";4567123;"exp2";7;10;1
"Sujet19_g2";1;1;38;"F";5671234;"exp2";7;2;1
"Sujet20_g2";1;1;19;"H";6712345;"exp2";7;2;1
"Sujet21_g2";1;1;22;"F";7123456;"exp2";7;2;1
"Sujet22_g2";1;1;22;"F";7654321;"exp2";7;0;1
"Sujet23_g2";1;1;28;"F";6543217;"exp2";7;4;1
"Sujet24_g2";1;1;22;"F";5432176;"exp2";7;2;1
"Sujet25_g2";1;1;22;"F";4321765;"exp2";7;3;1
"Sujet26_g2";1;1;NA;"F";3217654;"exp2";7;2;1
"Sujet28_g2";1;1;19;"H";1765432;"exp2";7;2;1
"Sujet29_g2";1;1;49;"H";2345671;"exp2";7;2;1
"Sujet3_g2";1;1;21;"F";3456712;"exp2";7;4;1
"Sujet30_g2";1;1;23;"F";7654321;"exp2";7;2;1
"Sujet31_g2";1;1;NA;"H";2345671;"exp2";7;7;1
"Sujet32_g2";1;1;31;"F";2176543;"exp2";7;5;1
"Sujet4_g2";1;1;28;"F";4567123;"exp2";7;2;1
"Sujet5_g2";1;1;21;"F";5671234;"exp2";7;3;1
"Sujet6_g2";1;1;45;"F";6712345;"exp2";7;5;1
"Sujet7_g2";1;1;28;"F";7123456;"exp2";7;7;1
"Sujet9_g2";1;1;22;"H";6543217;"exp2";7;2;1
