"participant";"number_lessons";"math_level";"position";"pos_num";"score_number";"score"
"Sujet1_35";3;5;"pos1";1;"score1";5
"Sujet1_35";3;5;"pos1";1;"score2";5
"Sujet1_35";3;5;"pos3";3;"score1";5
"Sujet1_35";3;5;"pos3";3;"score2";5
"Sujet1_35";3;5;"pos2";2;"score1";5
"Sujet1_35";3;5;"pos2";2;"score2";5
"Sujet10";7;2;"pos7";7;"score2";10
"Sujet10";7;2;"pos4";4;"score2";10
"Sujet10";7;2;"pos6";6;"score2";10
"Sujet10";7;2;"pos2";2;"score2";10
"Sujet10";7;2;"pos5";5;"score2";10
"Sujet10";7;2;"pos1";1;"score1";10
"Sujet10";7;2;"pos1";1;"score2";10
"Sujet10";7;2;"pos4";4;"score1";10
"Sujet10";7;2;"pos3";3;"score2";10
"Sujet10";7;2;"pos6";6;"score1";10
"Sujet10";7;2;"pos3";3;"score1";10
"Sujet10";7;2;"pos5";5;"score1";10
"Sujet10";7;2;"pos2";2;"score1";10
"Sujet10";7;2;"pos7";7;"score1";10
"Sujet10_35";5;2;"pos4";4;"score1";10
"Sujet10_35";5;2;"pos4";4;"score2";9
"Sujet10_35";5;2;"pos1";1;"score1";10
"Sujet10_35";5;2;"pos3";3;"score1";9,5
"Sujet10_35";5;2;"pos3";3;"score2";8
"Sujet10_35";5;2;"pos5";5;"score1";8
"Sujet10_35";5;2;"pos2";2;"score1";8
"Sujet10_35";5;2;"pos2";2;"score2";7
"Sujet10_35";5;2;"pos5";5;"score2";9
"Sujet10_35";5;2;"pos1";1;"score2";10
"Sujet11_35";3;4;"pos2";2;"score1";8
"Sujet11_35";3;4;"pos3";3;"score1";9
"Sujet11_35";3;4;"pos1";1;"score1";6
"Sujet11_35";3;4;"pos1";1;"score2";5
"Sujet11_35";3;4;"pos2";2;"score2";7
"Sujet11_35";3;4;"pos3";3;"score2";8
"Sujet12";7;2;"pos4";4;"score1";7
"Sujet12";7;2;"pos6";6;"score2";10
"Sujet12";7;2;"pos3";3;"score2";7
"Sujet12";7;2;"pos1";1;"score2";8
"Sujet12";7;2;"pos2";2;"score1";8
"Sujet12";7;2;"pos2";2;"score2";7
"Sujet12";7;2;"pos1";1;"score1";8
"Sujet12";7;2;"pos7";7;"score1";9
"Sujet12";7;2;"pos3";3;"score1";9
"Sujet12";7;2;"pos7";7;"score2";10
"Sujet12";7;2;"pos4";4;"score2";7
"Sujet12";7;2;"pos6";6;"score1";9
"Sujet12";7;2;"pos5";5;"score1";10
"Sujet12";7;2;"pos5";5;"score2";8
"Sujet12_35";5;2;"pos4";4;"score1";9
"Sujet12_35";5;2;"pos4";4;"score2";9
"Sujet12_35";5;2;"pos5";5;"score1";10
"Sujet12_35";5;2;"pos2";2;"score1";5
"Sujet12_35";5;2;"pos3";3;"score1";8
"Sujet12_35";5;2;"pos3";3;"score2";9
"Sujet12_35";5;2;"pos2";2;"score2";9
"Sujet12_35";5;2;"pos5";5;"score2";10
"Sujet12_35";5;2;"pos1";1;"score1";8
"Sujet12_35";5;2;"pos1";1;"score2";4
"Sujet13";1;5;"pos1";1;"score1";2
"Sujet13_35";3;2;"pos1";1;"score2";10
"Sujet13_35";3;2;"pos3";3;"score1";10
"Sujet13_35";3;2;"pos1";1;"score1";10
"Sujet13_35";3;2;"pos2";2;"score1";7
"Sujet13_35";3;2;"pos2";2;"score2";7
"Sujet13_35";3;2;"pos3";3;"score2";10
"Sujet14";7;2;"pos1";1;"score1";9
"Sujet14";7;2;"pos3";3;"score1";9
"Sujet14";7;2;"pos5";5;"score1";9
"Sujet14";7;2;"pos6";6;"score1";9
"Sujet14";7;2;"pos2";2;"score1";9
"Sujet14";7;2;"pos3";3;"score2";9
